"","Observation","Sale.Price","Square.Feet","Age","Cluster","SF.mean","Age.mean","cluster"
"1",1,200400,1.661,1,"1",1.6963,6.1,"C"
"2",2,159800,1.665,1,"1",1.6963,6.1,"C"
"3",3,190500,1.672,6,"1",1.6963,6.1,"C"
"4",4,173300,1.68,9,"1",1.6963,6.1,"C"
"5",5,175500,1.689,1,"1",1.6963,6.1,"C"
"6",6,193100,1.7,1,"1",1.6963,6.1,"C"
"7",7,152750,1.7,22,"1",1.6963,6.1,"C"
"8",8,188400,1.728,4,"1",1.6963,6.1,"C"
"9",9,96400,1.73,12,"1",1.6963,6.1,"C"
"10",10,159700,1.738,4,"1",1.6963,6.1,"C"
"11",11,272100,2.018,1,"2",2.09233333333333,23.5833333333333,"C"
"12",12,110200,2.022,36,"2",2.09233333333333,23.5833333333333,"O"
"13",13,242500,2.037,6,"2",2.09233333333333,23.5833333333333,"C"
"14",14,194750,2.05,3,"2",2.09233333333333,23.5833333333333,"C"
"15",15,199750,2.072,29,"2",2.09233333333333,23.5833333333333,"C"
"16",16,142100,2.073,44,"2",2.09233333333333,23.5833333333333,"O"
"17",17,127150,2.08,28,"2",2.09233333333333,23.5833333333333,"C"
"18",18,195250,2.112,78,"2",2.09233333333333,23.5833333333333,"O"
"19",19,224600,2.144,23,"2",2.09233333333333,23.5833333333333,"C"
"20",20,201000,2.16,32,"2",2.09233333333333,23.5833333333333,"C"
"21",21,106250,2.168,2,"2",2.09233333333333,23.5833333333333,"C"
"22",22,123900,2.172,1,"2",2.09233333333333,23.5833333333333,"C"
"23",23,72000,0.954,53,"3",1.2325,21,"O"
"24",24,110000,1,28,"3",1.2325,21,"O"
"25",25,80350,1.016,21,"3",1.2325,21,"O"
"26",26,82700,1.1,6,"3",1.2325,21,"O"
"27",27,57600,1.217,23,"3",1.2325,21,"O"
"28",28,150750,1.228,15,"3",1.2325,21,"O"
"29",29,164750,1.29,19,"3",1.2325,21,"O"
"30",30,166100,1.301,7,"3",1.2325,21,"O"
"31",31,144750,1.312,41,"3",1.2325,21,"O"
"32",32,72950,1.407,37,"3",1.2325,21,"O"
"33",33,190600,1.477,1,"3",1.2325,21,"O"
"34",34,176300,1.488,1,"3",1.2325,21,"O"
"35",35,229250,2.358,21,"4",2.48581818181818,14.0909090909091,"C"
"36",36,288900,2.383,1,"4",2.48581818181818,14.0909090909091,"C"
"37",37,229700,2.4,15,"4",2.48581818181818,14.0909090909091,"C"
"38",38,331000,2.418,5,"4",2.48581818181818,14.0909090909091,"C"
"39",39,301700,2.46,1,"4",2.48581818181818,14.0909090909091,"C"
"40",40,169900,2.5,49,"4",2.48581818181818,14.0909090909091,"O"
"41",41,253750,2.518,1,"4",2.48581818181818,14.0909090909091,"C"
"42",42,225400,2.542,6,"4",2.48581818181818,14.0909090909091,"C"
"43",43,245750,2.546,25,"4",2.48581818181818,14.0909090909091,"C"
"44",44,208900,2.6,30,"4",2.48581818181818,14.0909090909091,"O"
"45",45,262750,2.619,1,"4",2.48581818181818,14.0909090909091,"C"
"46",46,309300,2.95,1,"5",3.1874,9.6,"O"
"47",47,235500,3,11,"5",3.1874,9.6,"O"
"48",48,130100,3,43,"5",3.1874,9.6,"O"
"49",49,289900,3.063,1,"5",3.1874,9.6,"O"
"50",50,302900,3.114,10,"5",3.1874,9.6,"O"
"51",51,298600,3.217,3,"5",3.1874,9.6,"O"
"52",52,337300,3.277,1,"5",3.1874,9.6,"O"
"53",53,280300,3.3,12,"5",3.1874,9.6,"O"
"54",54,317800,3.403,1,"5",3.1874,9.6,"O"
"55",55,298500,3.55,13,"5",3.1874,9.6,"O"
